Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
59,Byron Leftwich\LeftBy00,ATL,27,qb,3,2,0-2-0,32,58,55.2,279,1,1.7,2,3.4,23,4.8,3.6,8.7,93.0,59.5,7.7,6,37,3.78,2.69,9.4,,
60,Brooks Bollinger\BollBr00,MIN,28,qb,5,1,0-1-0,33,50,66.0,391,1,2.0,1,2.0,50,7.8,7.3,11.8,78.2,88.0,42.0,7,36,6.23,5.79,12.3,1,1
61,Patrick Ramsey\RamsPa00,DEN,28,,2,0,,29,48,60.4,262,1,2.1,1,2.1,21,5.5,4.9,9.0,131.0,73.4,57.3,3,13,4.88,4.39,5.9,,
62,Charlie Batch\BatcCh00,PIT,33,qb,7,1,0-1-0,17,36,47.2,232,2,5.6,3,8.3,59,6.4,3.8,13.6,33.1,52.1,38.4,0,0,6.44,3.81,0.0,,
63,Jim Sorgi\SorgJi00,IND,27,,4,0,,18,36,50.0,132,1,2.8,0,0.0,12,3.7,4.2,7.3,33.0,68.3,19.4,2,15,3.08,3.61,5.3,,
64,Brock Berlin\BerlBr00,STL,26,qb,1,1,0-1-0,17,28,60.7,153,0,0.0,1,3.6,23,5.5,3.9,9.0,153.0,60.6,4.9,0,0,5.46,3.86,0.0,,
65,Aaron Rodgers\RodgAa00,GNB,24,,2,0,,20,28,71.4,218,1,3.6,0,0.0,43,7.8,8.5,10.9,109.0,106.0,78.0,3,24,6.26,6.90,9.7,,
66,Seneca Wallace\WallSe00,SEA,27,,10,0,,19,28,67.9,215,2,7.1,1,3.6,45,7.7,7.5,11.3,21.5,99.6,23.6,3,13,6.52,6.35,9.7,,
67,Tim Rattay\RattTi00,ARI,30,,4,0,,15,27,55.6,164,3,11.1,3,11.1,42,6.1,3.3,10.9,41.0,71.1,74.0,0,0,6.07,3.30,0.0,,
68,J.T. O'Sullivan\OSulJ.00,DET,28,,4,0,,13,26,50.0,148,1,3.8,2,7.7,42,5.7,3.0,11.4,37.0,48.2,4.6,3,18,4.48,2.07,10.3,,
69,Bruce Gradkowski\GradBr00,TAM,24,,4,0,,13,24,54.2,130,0,0.0,1,4.2,20,5.4,3.5,10.0,32.5,52.4,42.8,2,14,4.46,2.73,7.7,,
70,Chris Weinke\WeinCh00,SFO,35,qb,2,1,0-1-0,13,22,59.1,104,1,4.5,0,0.0,21,4.7,5.6,8.0,52.0,86.2,2.5,5,31,2.70,3.44,18.5,,
71,Craig Nall\NallCr00,GNB,28,,1,0,,7,15,46.7,88,1,6.7,0,0.0,32,5.9,7.2,12.6,88.0,87.6,34.3,1,10,4.88,6.13,6.3,,
72,Brad Johnson\JohnBr00,DAL,39,,16,0,,7,11,63.6,79,0,0.0,0,0.0,35,7.2,7.2,11.3,4.9,85.0,33.1,1,9,5.83,5.83,8.3,,
73,Charlie Frye\FryeCh00,CLE,26,qb,1,1,0-1-0,4,10,40.0,34,0,0.0,1,10.0,15,3.4,-1.1,8.5,34.0,10.0,0.6,5,31,0.20,-2.80,33.3,,
74,Billy Volek\VoleBi00,SDG,31,,5,0,,3,10,30.0,6,0,0.0,1,10.0,4,0.6,-3.9,2.0,1.2,0.0,0.0,2,7,-0.08,-3.83,16.7,,
75,Jared Lorenzen\LoreJa00,NYG,26,,2,0,,4,8,50.0,28,0,0.0,0,0.0,9,3.5,3.5,7.0,14.0,58.3,9.0,1,5,2.56,2.56,11.1,,
76,Brady Quinn\QuinBr00,CLE,23,,1,0,,3,8,37.5,45,0,0.0,0,0.0,18,5.6,5.6,15.0,45.0,56.8,67.0,0,0,5.63,5.63,0.0,,
77,Andrew Walter\WaltAn00,OAK,25,,1,0,,5,8,62.5,38,0,0.0,0,0.0,19,4.8,4.8,7.6,38.0,74.0,77.4,0,0,4.75,4.75,0.0,,
78,Matt Cassel\CassMa00,NWE,25,,6,0,,4,7,57.1,38,0,0.0,1,14.3,21,5.4,-1.0,9.5,6.3,32.7,99.3,0,0,5.43,-1.00,0.0,,
79,Anthony Wright\WrigAn00,NYG,31,,3,0,,1,7,14.3,12,0,0.0,0,0.0,12,1.7,1.7,12.0,4.0,39.6,4.2,0,0,1.71,1.71,0.0,,
80,Tyler Thigpen\ThigTy00,KAN,23,,1,0,,2,6,33.3,41,0,0.0,1,16.7,22,6.8,-0.7,20.5,41.0,18.7,0.3,1,9,4.57,-1.86,14.3,,
81,Antwaan Randle El\RandAn00,WAS,28,WR,15,13,,1,2,50.0,19,0,0.0,0,0.0,19,9.5,9.5,19.0,1.3,83.3,66.0,0,0,9.50,9.50,0.0,,
82,Sidney Rice\RiceSi01,MIN,21,wr,13,4,,2,2,100.0,94,0,0.0,0,0.0,79,47.0,47.0,47.0,7.2,118.7,93.4,0,0,47.00,47.00,0.0,,
83,Marty Booker\BookMa00,MIA,31,WR,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,23.8,0,0,0.00,0.00,0.0,,
84,Mark Clayton\ClayMa01,BAL,25,WR,16,12,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,5.3,0,0,0.00,0.00,0.0,,
85,Ronald Curry\CurrRo01,OAK,28,WR,16,13,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.6,0,0,0.00,0.00,0.0,,
86,Robbie Gould\gouldrob01,CHI,25,K,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
87,Matt Gutierrez\GutiMa00,NWE,23,,5,0,,1,1,100.0,15,0,0.0,0,0.0,15,15.0,15.0,15.0,3.0,118.7,100.0,0,0,15.00,15.00,0.0,,
88,Steven Jackson\JackSt00,STL,24,RB,12,12,,1,1,100.0,2,1,100.0,0,0.0,2,2.0,22.0,2.0,0.2,118.7,100.0,0,0,2.00,22.00,0.0,,
89,Larry Johnson\JohnLa00,KAN,28,RB,8,8,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,5.1,0,0,0.00,0.00,0.0,,
90,Chris Kluwe\KluwCh20,MIN,26,P,16,0,,1,1,100.0,27,0,0.0,0,0.0,27,27.0,27.0,27.0,1.7,118.7,100.0,0,0,27.00,27.00,0.0,,
91,Greg Lewis\LewiGr01,PHI,27,wr,15,1,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.3,0,0,0.00,0.00,0.0,,
92,Marshawn Lynch\LyncMa00,BUF,21,RB,13,13,,1,1,100.0,8,1,100.0,0,0.0,8,8.0,28.0,8.0,0.6,139.6,96.4,0,0,8.00,28.00,0.0,,
93,Mewelde Moore\MoorMe00,MIN,25,,12,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,5.1,0,0,0.00,0.00,0.0,,
94,Willie Parker*\ParkWi00,PIT,27,RB,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.3,0,0,0.00,0.00,0.0,,
95,Adrian Peterson\PeteAd00,CHI,28,rb,16,5,,1,1,100.0,9,1,100.0,0,0.0,9,9.0,29.0,9.0,0.6,143.7,100.0,0,0,9.00,29.00,0.0,,
96,Clinton Portis\PortCl00,WAS,26,RB,16,16,,1,1,100.0,15,1,100.0,0,0.0,15,15.0,35.0,15.0,0.9,158.3,100.0,1,2,6.50,16.50,50.0,,
97,Daniel Sepulveda\SepuDa20,PIT,23,P,16,0,,1,1,100.0,32,0,0.0,0,0.0,32,32.0,32.0,32.0,2.0,118.7,100.0,0,0,32.00,32.00,0.0,,
98,Brad Smith\SmitBr01,NYJ,24,WR,16,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
99,Chester Taylor\TaylCh01,MIN,28,RB,14,8,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.7,0,0,0.00,0.00,0.0,,
100,LaDainian Tomlinson*+\TomlLa00,SDG,28,RB,16,16,,1,1,100.0,17,1,100.0,0,0.0,17,17.0,37.0,17.0,1.1,158.3,100.0,0,0,17.00,37.00,0.0,,
101,Leon Washington\WashLe00,NYJ,25,rb,16,4,,1,1,100.0,36,0,0.0,0,0.0,36,36.0,36.0,36.0,2.3,118.7,100.0,0,0,36.00,36.00,0.0,,
